as_of_date,office,district,party,election_stage,candidate_name,write_in,already_listed_general
2026-02-07,U.S. House,IL-01,Democratic,Primary,Jerico Brown,True,False
2026-02-07,U.S. House,IL-01,Democratic,Primary,Jonathan Jackson,False,False
2026-02-07,U.S. House,IL-01,Republican,Primary,Christian Maxwell,False,False
2026-02-07,U.S. House,IL-01,Republican,Primary,Marcus Lewis,False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Adal Regis,False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Bryan Slepicka,True,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Donna Miller,False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Eric France,False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,"Jesse L. Jackson, Jr.",False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Patrick Keating,False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Robert Peters,False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Sidney Moore,False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Toni Brown,False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Willie Preston,False,False
2026-02-07,U.S. House,IL-02,Democratic,Primary,Yumeka Brown,False,False
2026-02-07,U.S. House,IL-02,Independent,General (already listed),Ashley Banks,False,True
2026-02-07,U.S. House,IL-02,Republican,Primary,Mike Noack,False,False
2026-02-07,U.S. House,IL-03,Democratic,Primary,Delia Ramirez,False,False
2026-02-07,U.S. House,IL-03,Republican,Primary,Angel Oakley,False,False
2026-02-07,U.S. House,IL-04,Democratic,Primary,Patty Garcia,False,False
2026-02-07,U.S. House,IL-04,Other,General (already listed),Ed Hershey,False,True
2026-02-07,U.S. House,IL-04,Republican,Primary,Lupe Castillo,False,False
2026-02-07,U.S. House,IL-05,Democratic,Primary,Anthony Michael Tamez,False,False
2026-02-07,U.S. House,IL-05,Democratic,Primary,Ellen Corley,False,False
2026-02-07,U.S. House,IL-05,Democratic,Primary,Matthew Conroy,False,False
2026-02-07,U.S. House,IL-05,Democratic,Primary,Mike Quigley,False,False
2026-02-07,U.S. House,IL-05,Republican,Primary,Barry Wicker,False,False
2026-02-07,U.S. House,IL-05,Republican,Primary,Kimball Ladien,False,False
2026-02-07,U.S. House,IL-05,Republican,Primary,Tom Hanson,False,False
2026-02-07,U.S. House,IL-06,Democratic,Primary,Joey Ruzevich,False,False
2026-02-07,U.S. House,IL-06,Democratic,Primary,Sean Casten,False,False
2026-02-07,U.S. House,IL-06,Republican,Primary,Niki Conforti,False,False
2026-02-07,U.S. House,IL-06,Republican,Primary,Skylar Duensing,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Anabel Mendoza,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Anthony Driver Jr.,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,David Ehrlich,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Felix Tello,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Jason Friedman,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Jazmin Robinson,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Kina Collins,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,La Shawn Ford,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Melissa Conyears-Ervin,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Reed Showalter,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Richard Boykin,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Rory Hoskins,False,False
2026-02-07,U.S. House,IL-07,Democratic,Primary,Thomas Fisher,False,False
2026-02-07,U.S. House,IL-07,Independent,General (already listed),Anita Rao,False,True
2026-02-07,U.S. House,IL-07,Independent,General (already listed),Nathan Billips,False,True
2026-02-07,U.S. House,IL-07,Republican,Primary,Chad Koppie,False,False
2026-02-07,U.S. House,IL-07,Republican,Primary,Patricia Easley,False,False
2026-02-07,U.S. House,IL-08,Democratic,Primary,Dan Tully,False,False
2026-02-07,U.S. House,IL-08,Democratic,Primary,Junaid Ahmed,False,False
2026-02-07,U.S. House,IL-08,Democratic,Primary,Kevin Morrison,False,False
2026-02-07,U.S. House,IL-08,Democratic,Primary,Melissa Bean,False,False
